ego_pos,-13.3044,-0.636541
obs_pos,0,0
heading,0.633508
wind,0.306693
5,5,-14,-0.636541
6,6,-16,1.36346
7,7,-18,3.36346
8,8,-20,5.36346
9,9,-22,7.36346
10,10,-24,9.36346
11,11,-26,11.3635
12,12,-28,13.3635
13,13,-30,15.3635
14,14,-32,17.3635
15,15,-34,19.3635
16,16,-36,21.3635
17,17,-38,23.3635
18,18,-40,25.3635
19,19,-42,27.3635
20,20,-44,29.3635
20,19,-44,27.3635
20,18,-44,25.3635
20,17,-44,23.3635
20,16,-44,21.3635
20,15,-44,19.3635
20,14,-44,17.3635
20,13,-44,15.3635
20,12,-44,13.3635
20,11,-44,11.3635
20,10,-44,9.36346
20,9,-44,7.36346
21,10,-46,9.36346
22,11,-48,11.3635
23,12,-50,13.3635
24,13,-52,15.3635
25,14,-54,17.3635
26,15,-56,19.3635
27,16,-58,21.3635
28,15,-60,19.3635
####0
ego_pos,-12.9348,-0.477406
obs_pos,0,0
heading,0.659686
wind,0.304947
5,5,-14,-0.477406
6,6,-16,1.52259
7,7,-18,3.52259
8,8,-20,5.52259
9,9,-22,7.52259
10,10,-24,9.52259
11,11,-26,11.5226
12,12,-28,13.5226
13,13,-30,15.5226
14,14,-32,17.5226
15,15,-34,19.5226
16,16,-36,21.5226
17,17,-38,23.5226
18,18,-40,25.5226
19,19,-42,27.5226
20,20,-44,29.5226
20,19,-44,27.5226
20,18,-44,25.5226
20,17,-44,23.5226
20,16,-44,21.5226
20,15,-44,19.5226
20,14,-44,17.5226
20,13,-44,15.5226
20,12,-44,13.5226
20,11,-44,11.5226
20,10,-44,9.52259
20,9,-44,7.52259
21,10,-46,9.52259
22,11,-48,11.5226
23,12,-50,13.5226
24,13,-52,15.5226
25,14,-54,17.5226
26,15,-56,19.5226
27,16,-58,21.5226
28,15,-60,19.5226
####1
ego_pos,-12.75,-0.31827
obs_pos,0,0
heading,0.687609
wind,0.316581
5,5,-14,-0.31827
6,6,-16,1.68173
7,7,-18,3.68173
8,8,-20,5.68173
9,9,-22,7.68173
10,10,-24,9.68173
11,11,-26,11.6817
12,12,-28,13.6817
13,13,-30,15.6817
14,14,-32,17.6817
15,15,-34,19.6817
16,16,-36,21.6817
17,17,-38,23.6817
18,18,-40,25.6817
19,19,-42,27.6817
20,20,-44,29.6817
20,19,-44,27.6817
20,18,-44,25.6817
20,17,-44,23.6817
20,16,-44,21.6817
20,15,-44,19.6817
20,14,-44,17.6817
20,13,-44,15.6817
20,12,-44,13.6817
20,11,-44,11.6817
20,10,-44,9.68173
20,9,-44,7.68173
21,10,-46,9.68173
22,11,-48,11.6817
23,12,-50,13.6817
24,13,-52,15.6817
25,14,-54,17.6817
26,15,-56,19.6817
27,16,-58,21.6817
28,15,-60,19.6817
####2
ego_pos,-12.75,-0.31827
obs_pos,0,0
heading,0.706806
wind,0.328507
5,5,-14,-0.31827
6,6,-16,1.68173
7,7,-18,3.68173
8,8,-20,5.68173
9,9,-22,7.68173
10,10,-24,9.68173
11,11,-26,11.6817
12,12,-28,13.6817
13,13,-30,15.6817
14,14,-32,17.6817
15,15,-34,19.6817
16,16,-36,21.6817
17,17,-38,23.6817
18,18,-40,25.6817
19,19,-42,27.6817
20,20,-44,29.6817
20,19,-44,27.6817
20,18,-44,25.6817
20,17,-44,23.6817
20,16,-44,21.6817
20,15,-44,19.6817
20,14,-44,17.6817
20,13,-44,15.6817
20,12,-44,13.6817
20,11,-44,11.6817
20,10,-44,9.68173
20,9,-44,7.68173
21,10,-46,9.68173
22,11,-48,11.6817
23,12,-50,13.6817
24,13,-52,15.6817
25,14,-54,17.6817
26,15,-56,19.6817
27,16,-58,21.6817
28,15,-60,19.6817
####3
ego_pos,-12.75,-0.31827
obs_pos,0,0
heading,0.731239
wind,0.344733
5,5,-14,-0.31827
6,6,-16,1.68173
7,7,-18,3.68173
8,8,-20,5.68173
9,9,-22,7.68173
10,10,-24,9.68173
11,11,-26,11.6817
12,12,-28,13.6817
13,13,-30,15.6817
14,14,-32,17.6817
15,15,-34,19.6817
16,16,-36,21.6817
17,17,-38,23.6817
18,18,-40,25.6817
19,19,-42,27.6817
20,20,-44,29.6817
20,19,-44,27.6817
20,18,-44,25.6817
20,17,-44,23.6817
20,16,-44,21.6817
20,15,-44,19.6817
20,14,-44,17.6817
20,13,-44,15.6817
20,12,-44,13.6817
20,11,-44,11.6817
20,10,-44,9.68173
20,9,-44,7.68173
21,10,-46,9.68173
22,11,-48,11.6817
23,12,-50,13.6817
24,13,-52,15.6817
25,14,-54,17.6817
26,15,-56,19.6817
27,16,-58,21.6817
28,15,-60,19.6817
####4
ego_pos,-12.5653,-0.159135
obs_pos,0,0
heading,0.748691
wind,0.354394
5,5,-14,-0.159135
6,6,-16,1.84086
7,7,-18,3.84086
8,8,-20,5.84086
9,9,-22,7.84086
10,10,-24,9.84086
11,11,-26,11.8409
12,12,-28,13.8409
13,13,-30,15.8409
14,14,-32,17.8409
15,15,-34,19.8409
16,16,-36,21.8409
17,17,-38,23.8409
18,18,-40,25.8409
19,19,-42,27.8409
20,20,-44,29.8409
20,19,-44,27.8409
20,18,-44,25.8409
20,17,-44,23.8409
20,16,-44,21.8409
20,15,-44,19.8409
20,14,-44,17.8409
20,13,-44,15.8409
20,12,-44,13.8409
20,11,-44,11.8409
20,10,-44,9.84086
20,9,-44,7.84086
21,10,-46,9.84086
22,11,-48,11.8409
23,12,-50,13.8409
24,13,-52,15.8409
25,14,-54,17.8409
26,15,-56,19.8409
27,16,-58,21.8409
28,15,-60,19.8409
####5
ego_pos,-12.5653,-0.159135
obs_pos,0,0
heading,0.766143
wind,0.368767
5,5,-14,-0.159135
6,6,-16,1.84086
7,7,-18,3.84086
8,8,-20,5.84086
9,9,-22,7.84086
10,10,-24,9.84086
11,11,-26,11.8409
12,12,-28,13.8409
13,13,-30,15.8409
14,14,-32,17.8409
15,15,-34,19.8409
16,16,-36,21.8409
17,17,-38,23.8409
18,18,-40,25.8409
19,19,-42,27.8409
20,20,-44,29.8409
20,19,-44,27.8409
20,18,-44,25.8409
20,17,-44,23.8409
20,16,-44,21.8409
20,15,-44,19.8409
20,14,-44,17.8409
20,13,-44,15.8409
20,12,-44,13.8409
20,11,-44,11.8409
20,10,-44,9.84086
20,9,-44,7.84086
21,10,-46,9.84086
22,11,-48,11.8409
